locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
PA0291,oprE,1,405,NE,Non
PA0292,aguA,1,405,NE,Non
PA0293,aguB,1,405,NE,Non
PA0294,aguR,1,405,NE,Non
PA0295,,1,405,NE,Non
PA0296,spuI,1,405,NE,Non
PA0297,spuA,1,405,NE,Non
"PA0298,spuB,2,""405,421"",""NE,E"",Conditional"
PA0299,spuC,1,405,NE,Non
PA0300,spuD,1,405,NE,Non
PA0301,spuE,1,405,NE,Non
PA0302,spuF,1,405,NE,Non
PA0303,spuG,1,405,NE,Non
PA0304,spuH,1,405,NE,Non
PA0305,,1,405,NE,Non
PA0306,,1,405,NE,Non
PA0307,,1,405,NE,Non
PA0308,,1,405,NE,Non
PA0309,,1,405,NE,Non
PA0310,,1,405,NE,Non
PA0311,,1,405,NE,Non
PA0312,,1,405,NE,Non
PA0313,,1,405,NE,Non
PA0314,,1,405,NE,Non
PA0315,,1,405,NE,Non
PA0316,serA,1,405,NE,Non
PA0317,,1,405,NE,Non
PA0318,,1,405,NE,Non
PA0319,,1,405,NE,Non
PA0320,,1,405,NE,Non
PA0321,,1,405,NE,Non
PA0322,,1,405,NE,Non
PA0323,,1,405,NE,Non
PA0324,,1,405,NE,Non
PA0325,,1,405,NE,Non
PA0326,,1,405,NE,Non
PA0327,,1,405,NE,Non
PA0328,,1,405,NE,Non
PA0329,,1,405,NE,Non
PA0330,rpiA,1,405,E,Essential
PA0331,ilvA1,1,405,NE,Non
"PA0332,,2,""405,421"",""NE,E"",Conditional"
PA0333,,1,405,NE,Non
PA0334,,1,405,NE,Non
PA0335,,1,405,NE,Non
PA0336,ygdP,1,405,NE,Non
PA0337,ptsP,1,405,NE,Non
PA0338,,1,405,NE,Non
PA0339,,1,405,NE,Non
PA0340,,1,405,NE,Non
PA0341,lgt,1,405,E,Essential
PA0342,thyA,1,405,E,Essential
PA0343,,1,405,NE,Non
PA0344,,1,405,NE,Non
PA0345,,1,405,NE,Non
PA0346,,1,405,NE,Non
PA0347,glpQ,1,405,NE,Non
PA0348,,1,405,NE,Non
PA0349,,1,405,NE,Non
PA0350,folA,1,405,E,Essential
PA0351,,1,405,NE,Non
PA0352,,1,405,NE,Non
PA0353,ilvD,1,405,NE,Non
PA0354,,1,405,NE,Non
PA0355,pfpI,1,405,NE,Non
PA0356,,1,405,NE,Non
PA0357,mutM,1,405,NE,Non
PA0358,,1,405,NE,Non
PA0359,,1,405,NE,Non
PA0360,,1,405,NE,Non
PA0361,,1,405,NE,Non
PA0362,fdx1,1,405,NE,Non
PA0363,coaD,1,405,E,Essential
PA0364,,1,405,NE,Non
PA0365,,1,405,NE,Non
PA0366,,1,405,NE,Non
PA0367,,1,405,NE,Non
PA0368,,1,405,NE,Non
PA0369,,1,405,NE,Non
PA0370,,1,405,NE,Non
PA0371,,1,405,NE,Non
PA0372,,1,405,NE,Non
PA0373,ftsY,1,405,NE,Non
"PA0374,ftsE,2,""405,421"",""NE,E"",Conditional"
"PA0375,ftsX,2,""421,405"",""E,NE"",Conditional"
PA0376,rpoH,1,405,E,Essential
